Year,Health,Health services ,Medical services by disease,Infectious and parasitic diseases,Neoplasms,Endocrine; nutritional; and metabolic diseases and immunity disorders,Mental illness ,Diseases of the nervous system and sense organs,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the genitourinary system,Complications of pregnancy; childbirth; and the puerperium,Diseases of the skin and subcutaneous organs,Diseases of the musculoskeletal system and connective tissue,Injury and poisoning,Symptoms; signs; and ill-defined conditions ,Other,Diseases of the blood and blood-forming organs,Congenital anomalies ,Certain conditions originating in the perinatal period,Residual codes; unclassified; all E codes,Medical services by provider,Dental services,Nursing homes,Proprietary and government nursing homes,Nonprofit nursing homes services to households,"Medical products, appliances and equipment",Pharmaceutical and other medical products ,Pharmaceutical products (without prescription drugs) ,Nonprescription drugs,Other medical products,Therapeutic appliances and equipment,Corrective eyeglasses and contact lenses,Therapeutic medical equipment
2000,"1,726.14","1,665.41","1,430.36",39.03,90.83,81.81,49.76,112.7,161.19,166.98,114.35,76.5,48.81,54.22,134.68,114.43,137.42,74.37,63.74,2.84,3.97,29.22,235.37,102.63,132.84,85.91,46.93,63.51,27.16,25.12,25.12,2.05,36.46,23.92,12.87
2001,"1,802.65","1,743.73","1,503.80",42.17,98.6,82.82,52.28,113.9,167.25,171.2,107.3,79.45,44.9,53.94,150.47,129.91,150.82,89.63,58.15,5.56,8.01,30.03,240.42,107.56,133.16,85.43,47.73,63.13,27.81,25.65,25.65,2.16,35.39,21.89,13.67
2002,"1,838.24","1,773.98","1,527.58",36.74,94.53,87.81,54.89,109.49,175.22,172.56,112.96,79.07,44.73,53.44,154.89,130.91,165.39,78.65,48.57,4.19,5.32,30.77,246.87,112.24,135.09,86.54,48.54,67.49,29.8,27.53,27.53,2.28,37.76,23.43,14.52
2003,"1,833.17","1,762.89","1,512.68",38.18,92.88,92.37,58.01,76.83,178.88,185.83,111.4,82.31,46.01,51.11,150.69,115.9,174.71,82.4,62.96,2.96,6.13,30.47,250.85,111.04,140.06,89.74,50.32,72.26,31.99,29.48,29.48,2.52,40.34,24.34,16.15
2004,"1,865.41","1,788.96","1,534.49",41.81,100.91,95.2,60.47,88.58,181.49,166.52,96.7,87.01,46.26,50.24,154.38,110.15,184.71,87.43,62.75,3.03,8.07,32.07,255.16,113.25,142.18,91.41,50.77,77.71,34.53,31.69,31.69,2.85,43.25,25.06,18.25
2005,"1,885.55","1,802.27","1,544.16",46.08,83.54,98.95,67.15,101.46,193.87,174.2,92.74,76.91,43.76,45.82,166.65,110.31,181.07,76.27,36.19,3.04,8.07,34.29,258.94,113.21,145.9,93.15,52.75,83.87,37.69,34.57,34.57,3.12,46.25,26.18,20.11
2006,"1,954.56","1,865.68","1,606.16",54.63,92.02,101.55,68.64,104.67,212.45,178.7,105.07,79.45,40,48.23,160.48,106.67,189.11,75.68,29.22,3.31,8.36,37.85,259.85,112.06,147.91,94.77,53.14,89.27,40.23,36.78,36.78,3.46,49.11,26.64,22.44
2007,"2,038.67","1,942.89","1,677.91",57.6,92.61,107.93,71.9,112.6,217.5,179.39,107.06,94.48,39.1,50.76,175.72,103.09,194.56,83.48,36.55,3.74,7.45,40.01,265.09,112.96,152.21,98.15,54.06,95.92,42.75,38.94,38.94,3.81,53.25,28.41,24.79
2008,"2,123.92","2,026.08","1,758.48",59.21,101.13,122.3,70.9,120.97,224.98,180.16,104.2,99.57,42.19,47.27,190.66,110.7,197.96,94.95,55.02,3.68,8.8,39.29,267.65,112.71,155.01,101.63,53.38,98.16,45.88,42.03,42.03,3.86,52.34,28.36,23.94
2009,"2,135.18","2,037.14","1,770.76",57.97,108.65,123.09,71.71,125.51,227.51,166.86,104.74,99.21,41.8,47.33,191.96,118.93,203.77,86.75,49.91,4.48,8.27,33.61,266.46,109.77,156.73,102.46,54.27,98.39,47.22,43.46,43.46,3.76,51.22,28.95,22.27
